2016/01/22,20:18:06
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="06537P",伦AX,10,0.88,0.91,10,3.409%,5.532%,1,-25.93%,74,笷筿,4.36% 基ず,139.58,0.08,31,-6.31,48.18%,50.64%
="06854P",4Z碔ü,50,1.40,1.49,50,6.429%,5.402%,-,-,0,笷筿,7.66% 基ず,144.57,0.10,24,-6.39,50.76%,58.13%
="06412P",碔ü6Y,50,2.19,2.28,10,4.110%,4.172%,2.50,-19.61%,70,笷筿,10.73% 基ず,149.55,0.12,45,-4.80,40.23%,45.14%
="07053P",伦JV,10,1.38,1.41,10,2.174%,3.693%,1.52,-3.80%,11,笷筿,13.89% 基ず,155.04,0.06,34,-4.34,47.25%,51.81%
="06965P",じ碔9A,25,1.59,-,0,-,3.335%,1.67,-19.32%,103,笷筿,16.31% 基ず,159.52,0.06,28,-4.13,45.03%,-
="035860",じ碔1F,25,0.71,0.77,10,8.451%,7.660%,-,-,0,らる,4.21% 基ず,32.58,0.4030,7,13.72,49.24%,58.60%
="035794",じ9M,100,0.50,0.51,10,2.000%,4.240%,0.62,12.73%,60,らる,2.88% 基ず,33,0.2120,39,7.11,41.40%,42.45%
="035829",G3い獺,30,0.27,0.32,10,18.519%,9.976%,0.33,0%,18,らる,1.43% 基ず,33.47,0.2650,7,16.69,39.99%,50.29%
="037182",GXッ伦,10,0.76,0.77,10,1.316%,3.684%,0.75,-2.60%,20,らる,1.04% 基ず,33.60,0.32,34,8.12,52.51%,53.21%
="036068",瓣布GR,1497,0.43,0.44,10,2.326%,5.792%,-,-,0,らる,0.03% 基ず,33.94,0.3180,12,12.97,54.15%,55.55%
="06607P",惩膀6Q,30,0.31,0.32,30,3.226%,7.586%,0.31,-8.82%,15,らる,0.03% 基,33.94,0.3180,6,-16.82,56.26%,58.13%
="037662",じ碔F7,25,0.74,0.75,25,1.351%,2.785%,-,-,0,らる,1.59% 基,34.50,0.30,45,6.97,56.14%,56.84%
="06460P",じ3X,100,1.47,1.51,10,2.721%,3.622%,1.50,7.14%,3,らる,9.97% 基ず,37.71,0.3710,24,-7.03,36.60%,42.22%
="034588",碔ü5S,10,0.71,0.72,10,1.409%,4.389%,-,-,0,地硄,2.06% 基ず,17.44,0.5160,40,7.50,50.17%,51.11%
="06926P",98惩膀,30,0.76,0.79,30,3.947%,3.430%,0.77,13.24%,95,地硄,8.72% 基ず,19.50,0.35,26,-5.80,57.19%,62.39%
="037245",NBじ,100,0.58,0.60,20,3.448%,5.445%,0.57,26.67%,762,翬,2.48% 基ず,72.99,0.1420,35,11.47,33.03%,34.61%
="037268",7F碔ü,10,0.66,0.67,10,1.515%,5.527%,0.67,6.35%,175,翬,2.48% 基ず,72.99,0.1640,35,11.24,32.39%,33.03%
="07117P",伦KN,10,0.40,0.41,10,2.500%,5.302%,0.46,-14.81%,30,翬,1.20% 基,73.91,0.1640,39,-11.35,29.88%,30.52%
="07255P",じ碔H3,25,0.77,0.78,25,1.299%,4.147%,0.77,-16.30%,57,翬,0.27% 基ず,75,0.20,45,-9.31,36.19%,36.66%
="07167P",KLッ伦,10,1.05,1.06,10,0.952%,3.820%,-,-,0,翬,1.53% 基ず,75.96,0.2140,40,-7.79,43.62%,44.09%
="06730P",3Q碔ü,10,0.72,0.74,10,2.778%,5.662%,-,-,0,翬,3.56% 基ず,77.56,0.1640,24,-10.93,36.37%,38.01%
="06826P",瓣布GV,499,1.39,1.40,10,0.719%,5.883%,-,-,0,翬,3.56% 基ず,77.56,0.3290,24,-11.72,34.03%,34.50%
="07143P",YHじ,100,0.71,0.75,100,5.634%,4.272%,-,-,0,翬,3.56% 基ず,77.56,0.1320,39,-7.84,39.23%,42.39%
="07199P",ZKじ,100,0.79,0.82,100,3.798%,4.097%,-,-,0,翬,3.56% 基ず,77.56,0.1420,41,-7.59,40.17%,42.33%
="06622P",じ碔1Q,25,1.14,1.18,25,3.509%,7.549%,1.17,-22%,333,翬,4.68% 基ず,78.47,0.2740,7,-15.48,41.52%,46.19%
="06391P",碔ü5Z,10,2.76,2.83,10,2.536%,2.549%,2.78,-4.14%,50,翬,13.71% 基ず,86.68,0.2190,40,-5.10,41.75%,46.90%
="037342",惩膀FS,30,0.74,0.80,30,8.108%,4.121%,-,-,0,く腳,9.88% 基ず,16.20,0.35,39,5.95,50.17%,59.06%
="037543",伦MG,10,0.57,0.62,10,8.772%,4.295%,-,-,0,く腳,1.71% 基ず,17.50,0.40,40,6.90,53.45%,59.06%
="06818P",じ碔6F,25,0.43,0.44,25,2.326%,4.732%,-,-,0,く腳,1.71% 基,17.50,0.50,24,-8.63,55.55%,56.72%
="037292",NZじ,100,0.82,0.84,10,2.439%,4.849%,0.80,9.59%,118,く腳,1.11% 基,18,0.80,39,9.01,47.36%,48.30%
="06578P",じ8N,100,0.92,0.96,100,4.348%,3.952%,-,-,0,く腳,8.72% 基ず,19.50,0.4310,35,-5.67,47.83%,52.51%
="06788P",じ碔5T,25,1.25,1.30,25,4.000%,3.820%,-,-,0,く腳,11.00% 基ず,20,0.50,24,-5.28,55.32%,61.92%
="036531",64惩膀,30,4.97,5.30,30,6.640%,1.536%,-,-,0,珇,47.14% 基ず,35,0.30,24,2.82,60.05%,140.67%
