2016/01/26,11:57:58
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="036065",じ碔2T,599,0.53,0.54,10,1.887%,5.103%,0.64,48.84%,30,F-ッ玜,8.10% 基ず,199.35,0.0280,9,7.42,63.98%,67.72%
="036144",竤痲K7,499,0.55,0.56,10,1.818%,3.946%,-,-,0,F-ッ玜,8.10% 基ず,199.35,0.0250,21,7.05,61.18%,63.05%
="036234",DQじ,100,0.80,0.89,50,11.250%,4.340%,0.93,30.99%,177,F-ッ玜,8.10% 基ず,199.35,0.04,21,6.89,48.84%,62.12%
="036510",57惩膀,998,0.89,0.95,10,6.742%,3.901%,-,-,0,F-ッ玜,8.10% 基ず,199.35,0.04,21,6.71,62.12%,71.45%
="035825",M9ッ伦,100,0.10,-,0,6.250%,8.977%,0.54,68.75%,1,F-ッ玜,3.58% 基ず,208.05,0.05,4,14.41,56.08%,63.97%
="037619",KRッ伦,43,0.01,-,0,1.333%,2.892%,-,-,0,F-ッ玜,3.21% 基ず,208.80,0.0310,38,5.32,74.77%,75.97%
="034950",B5い獺,499,0.44,0.45,400,2.273%,4.509%,0.44,22.22%,4,F-ッ玜,2.95% 基ず,209.32,0.02,43,5.86,63.52%,65.26%
="037052",惩膀CT,300,0.67,0.71,50,5.970%,3.655%,-,-,0,F-ッ玜,0.09% 基ず,215.30,0.04,29,6.79,68.19%,72.39%
="07292P",ら脖69,499,0.65,0.66,100,1.539%,2.181%,-,-,0,玭勾,1.33% 基ず,60,0.10,45,-4.21,73.34%,74.57%
="037519",じ碔C9,499,5.10,-,0,-,1.112%,-,-,0,篴て,70.28% 基ず,18,0.40,36,-,90.03%,-
="037256",HVッ伦,499,4.66,4.76,10,2.146%,1.246%,-,-,0,篴て,58.64% 基ず,19.32,0.41,32,2.58,60.05%,105.01%
="037770",G8瓣,499,4.48,-,0,-,1.259%,-,-,0,篴て,57.18% 基ず,19.50,0.40,42,-,30.05%,-
="035511",竤痲D6,10,4.60,4.70,10,2.174%,1.528%,-,-,0,篴て,42.56% 基ず,21.50,0.50,28,3.16,60.05%,90.03%
="037740",LPッ伦,499,3.24,3.34,10,3.086%,1.632%,3.35,-4.01%,240,篴て,35.86% 基ず,22.56,0.39,42,3.27,61.92%,78.78%
="037288",NVじ,200,1.89,1.98,10,4.762%,3.621%,-,-,0,覆靛,28.93% 基ず,140,0.0450,36,3.75,60.75%,80.19%
="037303",IDッ伦,499,0.64,0.66,278,1.563%,2.775%,0.62,-8.82%,378,覆靛,3.18% 基ず,174.93,0.0270,36,4.73,92.57%,94.24%
="037113",惩膀DH,100,0.73,0.77,50,4.110%,4.092%,-,-,0,覆靛,3.14% 基ず,175,0.0450,30,6.59,64.50%,67.81%
="037859",H5瓣,499,0.84,0.85,100,1.191%,3.100%,0.86,2.38%,287,覆靛,3.14% 基ず,175,0.04,43,5.04,73.52%,74.57%
="036972",KLじ,499,0.40,0.42,200,5.000%,7.217%,0.42,-4.55%,582,覆靛,0.28% 基ず,180,0.0350,28,8.14,55.31%,58.17%
="036312",FDじ,100,1.26,1.35,10,7.143%,3.297%,-,-,0,ゲ稻,21.45% 基ず,57.06,0.1020,21,4.91,41.28%,78.78%
